BatteryLevel,State,DistanceL,DistanceR,SpeedLExp,SpeedRExp,SpeedLBuff,SpeedRBuff,OutputL,OutputR
2.81,5,-457.99,-310.72,-89.92,-103.19,-58.3,-102.03,-0.37,-0.49
2.81,5,-466.82,-319.56,-84.74,-102.07,-89.21,-89.21,-0.37,-0.49
2.82,5,-478.6,-331.34,-92.19,-103.1,-118.76,-103.92,-0.37,-0.49
2.81,5,-490.38,-341.65,-100.95,-103.73,-120.03,-105.03,-0.37,-0.49
2.82,5,-502.16,-351.96,-106.41,-104.31,-121.8,-106.58,-0.37,-0.49
2.81,5,-506.58,-362.26,-104.01,-104.08,-44.13,-102.97,0.52,-0.52
2.81,5,-490.38,-374.05,-27.72,-106.57,150.36,-120.29,0.52,-0.52
2.82,5,-474.18,-384.35,45.8,-109.08,161.85,-102.99,0.52,-0.52
2.82,5,-459.46,-396.14,89.3,-111.07,143.01,-114.41,0.52,-0.52
2.81,5,-449.15,-406.44,104.49,-111.1,102.02,-102.02,0.52,-0.52
2.81,5,-437.37,-416.75,102.24,-107.99,114.58,-100.26,0.52,-0.52
2.82,5,-422.64,-428.53,116.7,-109.76,150.38,-105.26,0.52,-0.52
2.82,5,-404.97,-440.31,134.54,-112.15,165.17,-120.13,0.52,-0.52
2.82,5,-390.24,-452.09,145.24,-112.63,163.23,-118.72,0.52,-0.52
2.8,5,-374.05,-462.4,151.67,-112.65,150.4,-105.28,0.52,-0.52
2.81,5,-360.79,-474.18,149.16,-112.87,120.3,-105.26,0.52,-0.52
2.82,5,-350.48,-484.49,133.07,-110.69,105.1,-120.55,0.52,-0.52
2.82,5,-337.23,-496.27,125.94,-111.71,135.15,-105.11,0.52,-0.52
2.81,5,-321.03,-508.05,136.13,-113.27,155.71,-113.24,0.52,-0.52
2.82,5,-304.83,-519.84,146.51,-114.15,150.73,-120.58,0.52,-0.52
2.82,5,-288.63,-531.62,153.01,-115.02,164.9,-119.93,0.52,-0.52
